simMode,seed,firstFullCoverageStep,finalCoverageRatio,maxCellAge,avgCellAge,meanRevisitInterval,totalSteps,revisitRatio,workloadBalance,targetConflictCount
PatrolOnly,12469,38,1.0000,37,9.1553,4.4116,100,0.9900,0.0000,0
PatrolOnly,12470,39,1.0000,48,8.4029,4.4251,100,0.9900,0.0000,0
PatrolOnly,12471,40,1.0000,33,10.0049,4.2995,100,0.9900,0.0000,0
PatrolOnly,12472,39,1.0000,37,9.2233,4.6890,100,0.9900,0.0000,0
PatrolOnly,12473,32,1.0000,38,10.8204,4.8950,100,0.9933,0.0000,0
PatrolOnly,12474,37,1.0000,44,9.0291,4.9393,100,0.9900,0.0000,0
PatrolOnly,12475,50,1.0000,47,7.6845,5.1604,100,0.9933,0.0000,0
PatrolOnly,12476,34,1.0000,35,8.8252,5.0216,100,0.9933,0.0000,0
PatrolOnly,12477,43,1.0000,34,9.7184,4.6311,100,0.9900,0.0000,0
PatrolOnly,12478,34,1.0000,33,9.8058,4.6163,100,0.9900,0.0000,0
PatrolOnly,12479,38,1.0000,39,8.4320,4.3662,100,0.9900,0.0000,0
PatrolOnly,12480,36,1.0000,32,9.2282,4.7444,100,0.9900,0.0000,0
PatrolOnly,12481,45,1.0000,32,7.9612,4.7882,100,0.9933,0.0000,0
PatrolOnly,12482,30,1.0000,35,6.9466,4.4390,100,0.9900,0.0000,0
PatrolOnly,12483,35,1.0000,33,8.9806,4.4034,100,0.9900,0.0000,0
PatrolOnly,12484,45,1.0000,40,9.2476,4.2576,100,0.9900,0.0000,0
PatrolOnly,12485,42,1.0000,31,9.0000,4.7899,100,0.9900,0.0000,0
PatrolOnly,12486,36,1.0000,32,8.5922,4.6483,100,0.9900,0.0000,0
PatrolOnly,12487,37,1.0000,32,12.3107,4.9394,100,0.9900,0.0000,0
PatrolOnly,12488,39,1.0000,50,11.3350,5.0352,100,0.9933,0.0000,0
PatrolOnly,12489,39,1.0000,41,11.6408,5.3780,100,0.9900,0.0000,0
PatrolOnly,12490,30,1.0000,35,9.9417,4.6596,100,0.9933,0.0000,0
PatrolOnly,12491,46,1.0000,39,9.5631,5.0301,100,0.9900,0.0000,0
PatrolOnly,12492,42,1.0000,33,10.6553,4.3492,100,0.9900,0.0000,0
PatrolOnly,12493,36,1.0000,32,10.9563,4.8124,100,0.9900,0.0000,0
PatrolOnly,12494,37,1.0000,33,7.0146,4.5607,100,0.9900,0.0000,0
PatrolOnly,12495,32,1.0000,31,7.4757,4.5432,100,0.9900,0.0000,0
PatrolOnly,12496,32,1.0000,43,8.0631,4.7082,100,0.9900,0.0000,0
PatrolOnly,12497,39,1.0000,40,9.3204,5.1639,100,0.9900,0.0000,0
PatrolOnly,12498,34,1.0000,42,7.9466,4.5932,100,0.9900,0.0000,0
PatrolOnly,12499,39,1.0000,41,8.5049,5.5465,100,0.9933,0.0000,0
PatrolOnly,12500,31,1.0000,31,8.4660,4.4743,100,0.9900,0.0000,0
PatrolOnly,12501,28,1.0000,38,8.7718,4.3156,100,0.9900,0.0000,0
